Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde634     Vardas634                  8.20            8.20
Pavarde635     Vardas635                  3.90            3.80
Pavarde636     Vardas636                  5.80            5.60
Pavarde637     Vardas637                  6.00            6.00
Pavarde638     Vardas638                  7.40            7.60
Pavarde639     Vardas639                  5.40            5.20
Pavarde640     Vardas640                  6.70            6.40
Pavarde641     Vardas641                  6.20            6.60
Pavarde642     Vardas642                  4.40            4.40
Pavarde643     Vardas643                  3.10            2.80
Pavarde644     Vardas644                  3.00            3.20
Pavarde645     Vardas645                  4.50            4.20
Pavarde646     Vardas646                  3.50            3.60
Pavarde647     Vardas647                  3.90            4.00
Pavarde648     Vardas648                  5.90            5.60
Pavarde649     Vardas649                  8.50            8.80
Pavarde650     Vardas650                  5.10            5.40
Pavarde651     Vardas651                  6.20            5.60
Pavarde652     Vardas652                  7.80            7.40
Pavarde653     Vardas653                  5.10            5.00
Pavarde654     Vardas654                  2.70            3.00
Pavarde655     Vardas655                  3.50            3.60
Pavarde656     Vardas656                  2.40            2.20
Pavarde657     Vardas657                  6.80            7.20
Pavarde658     Vardas658                  8.40            8.60
Pavarde659     Vardas659                  8.20            8.00
Pavarde660     Vardas660                  5.60            5.40
Pavarde661     Vardas661                  5.60            5.80
Pavarde662     Vardas662                  5.00            5.00
Pavarde663     Vardas663                  7.20            7.00
Pavarde664     Vardas664                  5.50            5.40
Pavarde665     Vardas665                  4.80            5.00
Pavarde666     Vardas666                  5.70            6.00
Pavarde667     Vardas667                  5.30            5.20
Pavarde668     Vardas668                  4.40            4.60
Pavarde669     Vardas669                  4.40            4.20
Pavarde670     Vardas670                  3.80            3.60
Pavarde671     Vardas671                  6.00            6.00
Pavarde672     Vardas672                  2.20            2.00
Pavarde673     Vardas673                  2.90            2.60
Pavarde674     Vardas674                  4.90            5.00
Pavarde675     Vardas675                  8.10            8.00
Pavarde676     Vardas676                  3.90            4.40
Pavarde677     Vardas677                  7.90            7.60
Pavarde678     Vardas678                  4.90            4.80
Pavarde679     Vardas679                  7.80            7.80
Pavarde680     Vardas680                  7.10            7.60
Pavarde681     Vardas681                  4.70            4.60
Pavarde682     Vardas682                  7.70            7.60
Pavarde683     Vardas683                  8.20            8.40
Pavarde684     Vardas684                  3.20            3.40
Pavarde685     Vardas685                  6.80            7.20
Pavarde686     Vardas686                  5.30            5.20
Pavarde687     Vardas687                  3.30            3.40
Pavarde688     Vardas688                  7.90            7.80
Pavarde689     Vardas689                  4.40            5.00
Pavarde690     Vardas690                  3.90            4.00
Pavarde691     Vardas691                  6.60            6.60
Pavarde692     Vardas692                  4.70            4.80
Pavarde693     Vardas693                  7.60            7.60
Pavarde694     Vardas694                  7.60            7.20
Pavarde695     Vardas695                  3.40            3.00
Pavarde696     Vardas696                  3.90            3.60
Pavarde697     Vardas697                  7.90            7.60
Pavarde698     Vardas698                  6.90            6.80
Pavarde699     Vardas699                  5.00            4.60
Pavarde700     Vardas700                  4.20            4.00
Pavarde701     Vardas701                  6.50            6.40
Pavarde702     Vardas702                  7.00            7.20
Pavarde703     Vardas703                  8.40            8.00
